Topics,Alpha,Beta,Coherence
2,asymmetric,0.01,0.42966458208779407
3,asymmetric,0.01,0.4337901753540628
4,asymmetric,0.01,0.48006873322613197
5,asymmetric,0.01,0.47738677166602184
6,asymmetric,0.01,0.47479235026641003
7,asymmetric,0.01,0.4980591562438592
8,asymmetric,0.01,0.5240721740107388
9,asymmetric,0.01,0.4701477589203357
10,asymmetric,0.01,0.4859455950490359
11,asymmetric,0.01,0.5018110264584855
12,asymmetric,0.01,0.5226590428955366
13,asymmetric,0.01,0.5068432072663366
14,asymmetric,0.01,0.5257284958811465
15,asymmetric,0.01,0.5208583041539853
16,asymmetric,0.01,0.5208744733296651
17,asymmetric,0.01,0.5325204845814817
18,asymmetric,0.01,0.5083683600809177
19,asymmetric,0.01,0.5021238226086083
20,asymmetric,0.01,0.5024833270504893
